"State","State_Code","Urban_Rural","sex","Age_Group","disabl_count","disability","pop_count","pop_disabl_perc","age_high","iso_code","state_ut"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","40-49",242,"TotDisab",13479,0.0179538541434825,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","40-49",11,"MenIll",13479,0.000816084279249202,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","40-49",16,"Mult",13479,0.00118703167890793,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","40-49",17,"MenRet",13479,0.00126122115883968,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","40-49",45,"Hear",13479,0.00333852659692856,49,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",17,"Speech",9416,0.0018054375531011,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",95,"TotDisab",9416,0.010089209855565,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",3,"MenIll",9416,0.000318606627017842,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",8,"Sight",9416,0.000849617672047579,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",22,"Mult",9416,0.00233644859813084,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",7,"MenRet",9416,0.000743415463041631,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",10,"Other",9416,0.00106202209005947,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",11,"Hear",9416,0.00116822429906542,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","5-9",17,"Move",9416,0.0018054375531011,9,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",67,"Sight",8461,0.00791868573454674,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",10,"Other",8461,0.00118189339321593,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",226,"TotDisab",8461,0.0267107906866801,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",40,"Hear",8461,0.00472757357286373,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",47,"Move",8461,0.00555489894811488,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",5,"MenIll",8461,0.000590946696607966,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",8,"Speech",8461,0.000945514714572746,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",28,"MenRet",8461,0.00330930150100461,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","50-59",21,"Mult",8461,0.00248197612575346,59,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",8,"Speech",5195,0.00153994225216554,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",83,"Sight",5195,0.0159769008662175,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",250,"TotDisab",5195,0.0481231953801732,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",14,"Other",5195,0.0026948989412897,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",60,"Move",5195,0.0115495668912416,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",10,"MenRet",5195,0.00192492781520693,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",3,"MenIll",5195,0.000577478344562079,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",20,"Mult",5195,0.00384985563041386,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","60-69",52,"Hear",5195,0.010009624639076,69,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",51,"Sight",1872,0.0272435897435897,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",6,"Other",1872,0.00320512820512821,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",154,"TotDisab",1872,0.0822649572649573,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",33,"Move",1872,0.0176282051282051,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",4,"Speech",1872,0.00213675213675214,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",0,"MenIll",1872,0,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",23,"Mult",1872,0.0122863247863248,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",4,"MenRet",1872,0.00213675213675214,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","70-79",33,"Hear",1872,0.0176282051282051,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",15,"Sight",646,0.0232198142414861,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",0,"Speech",646,0,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",4,"Other",646,0.00619195046439629,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",75,"TotDisab",646,0.11609907120743,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",0,"MenIll",646,0,89,"IN-AN","Union territory"
